epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.5639,1.39728,2.43706,1.19124,0.62826,0.30239,0.28991,0.17539,1.22319,1.36452,1.1003,0.00329412,0.00329412,0.0703529
2,171.723,1.28815,1.45069,1.1295,0.57442,0.39886,0.36594,0.23109,1.20749,1.23827,1.10472,0.00649623,0.00649623,0.0402217
3,258.711,1.29158,1.38267,1.11628,0.50375,0.28817,0.2934,0.17266,1.33074,1.53159,1.14483,0.00956634,0.00956634,0.00995849
4,345.191,1.33556,1.37413,1.14888,0.52583,0.32583,0.3075,0.16736,1.44369,1.48308,1.24258,0.009406,0.009406,0.009406
5,431.943,1.33185,1.34418,1.15623,0.44288,0.37587,0.30989,0.17564,1.40999,1.54878,1.23488,0.009208,0.009208,0.009208
6,518.782,1.32602,1.29216,1.15495,0.63003,0.35427,0.35718,0.20836,1.35968,1.35552,1.20095,0.00901,0.00901,0.00901
7,605.44,1.29063,1.24157,1.14247,0.59249,0.36505,0.36768,0.21751,1.33929,1.35736,1.19202,0.008812,0.008812,0.008812
8,692.539,1.30302,1.22016,1.13879,0.66376,0.34343,0.38743,0.23657,1.29821,1.24811,1.15438,0.008614,0.008614,0.008614
9,779.499,1.2772,1.17454,1.13012,0.62599,0.36623,0.39335,0.23647,1.31659,1.20648,1.17096,0.008416,0.008416,0.008416
10,866.475,1.25042,1.12615,1.12013,0.60692,0.40178,0.39284,0.23222,1.34293,1.28165,1.19048,0.008218,0.008218,0.008218
11,952.965,1.23263,1.10443,1.11346,0.52673,0.43523,0.41478,0.25432,1.28874,1.20246,1.15332,0.00802,0.00802,0.00802
12,1040.23,1.23435,1.07361,1.10419,0.66909,0.38864,0.43221,0.26729,1.29811,1.17307,1.17093,0.007822,0.007822,0.007822
13,1127.22,1.22253,1.04903,1.10155,0.46831,0.46245,0.39591,0.2407,1.34232,1.22556,1.18574,0.007624,0.007624,0.007624
14,1213.77,1.20422,1.03613,1.09366,0.58334,0.42516,0.43203,0.25779,1.31918,1.14661,1.16029,0.007426,0.007426,0.007426
15,1300.27,1.18639,1.01048,1.08605,0.69923,0.409,0.44846,0.27362,1.30023,1.15364,1.15019,0.007228,0.007228,0.007228
16,1387.39,1.18161,0.9834,1.08015,0.64107,0.41708,0.43733,0.26641,1.31689,1.29935,1.17213,0.00703,0.00703,0.00703
17,1474.17,1.16932,0.95385,1.07684,0.6616,0.40007,0.47182,0.28576,1.30344,1.07759,1.15893,0.006832,0.006832,0.006832
18,1561.44,1.15191,0.94482,1.07067,0.66978,0.43455,0.44395,0.27505,1.244,1.16647,1.13507,0.006634,0.006634,0.006634
19,1648.12,1.15228,0.92924,1.06323,0.67033,0.42646,0.43644,0.26772,1.27643,1.10119,1.14535,0.006436,0.006436,0.006436
20,1734.93,1.12266,0.9094,1.05881,0.58681,0.44552,0.46016,0.28988,1.28064,1.16342,1.16221,0.006238,0.006238,0.006238
21,1821.88,1.13976,0.90296,1.0587,0.6062,0.45009,0.46171,0.28568,1.29853,1.11794,1.16183,0.00604,0.00604,0.00604
22,1908.57,1.11387,0.87228,1.05438,0.44348,0.60778,0.53851,0.30162,1.27285,1.07823,1.13977,0.005842,0.005842,0.005842
23,1995.87,1.11412,0.85612,1.0435,0.70892,0.41977,0.46557,0.28912,1.28299,1.13596,1.15419,0.005644,0.005644,0.005644
24,2082.73,1.10245,0.84837,1.0393,0.68729,0.43815,0.46448,0.28029,1.34196,1.13271,1.1709,0.005446,0.005446,0.005446
25,2169.51,1.08615,0.82764,1.03894,0.59421,0.55285,0.54269,0.30228,1.33288,1.08746,1.16986,0.005248,0.005248,0.005248
26,2256.57,1.07891,0.80425,1.03141,0.64347,0.44321,0.48367,0.30518,1.24262,1.10332,1.1299,0.00505,0.00505,0.00505
27,2343.51,1.06738,0.79914,1.02611,0.74153,0.48429,0.53834,0.30742,1.28854,1.10135,1.15845,0.004852,0.004852,0.004852
28,2430.7,1.05155,0.78259,1.02129,0.49277,0.55659,0.53769,0.31426,1.26258,1.10727,1.15044,0.004654,0.004654,0.004654
29,2517.6,1.04681,0.7723,1.01827,0.59634,0.43901,0.49365,0.30786,1.27691,1.09054,1.16158,0.004456,0.004456,0.004456
30,2604.41,1.03844,0.74715,1.00999,0.68339,0.46398,0.54923,0.3275,1.20808,1.03767,1.12398,0.004258,0.004258,0.004258
31,2691.05,1.02266,0.74114,1.00709,0.66513,0.46401,0.53195,0.30907,1.27622,1.07335,1.16033,0.00406,0.00406,0.00406
32,2777.91,1.02824,0.72967,1.00577,0.66329,0.48704,0.55158,0.32307,1.23378,1.01606,1.13509,0.003862,0.003862,0.003862
33,2864.7,1.01219,0.71179,1.00417,0.64955,0.48695,0.53512,0.31399,1.26492,1.07117,1.15461,0.003664,0.003664,0.003664
34,2951.48,1.00123,0.70331,0.99953,0.47357,0.57425,0.54868,0.32233,1.25733,1.0598,1.15054,0.003466,0.003466,0.003466
35,3037.9,0.97931,0.68613,0.99527,0.71855,0.48884,0.5375,0.31123,1.2298,1.09611,1.1452,0.003268,0.003268,0.003268
36,3124.75,0.99213,0.67491,0.98888,0.61416,0.49376,0.52446,0.3023,1.23249,1.06456,1.13231,0.00307,0.00307,0.00307
